,Total
1/25/14 05:59,128972.8
1/25/14 06:59,139435.45
1/25/14 07:59,148114.96
1/25/14 08:59,156758.88
1/25/14 09:59,162445.65
1/25/14 10:59,164874.06
1/25/14 11:59,163905.97
1/25/14 12:59,155025.51
1/25/14 13:59,146482.9
1/25/14 14:59,143303.07
1/25/14 15:59,146753.91
1/25/14 16:59,152208.52
1/25/14 17:59,163136.92
1/25/14 18:59,177838.95
1/25/14 19:59,175594.34
1/25/14 20:59,163789.92
1/25/14 21:59,151139.51
1/25/14 22:59,138428.45
1/25/14 23:59,126858.08
1/26/14 00:59,119645.45
1/26/14 01:59,116028.78
1/26/14 02:59,115552.99
1/26/14 03:59,116927.22
1/26/14 04:59,119249.7
1/26/14 05:59,126719.84
1/26/14 06:59,140227.7
1/26/14 07:59,150718.12
1/26/14 08:59,155594.09
1/26/14 09:59,158567.76
1/26/14 10:59,157153.15
1/26/14 11:59,155501.14
1/26/14 12:59,148145.04
1/26/14 13:59,141933.93
1/26/14 14:59,139611.09
1/26/14 15:59,141047.69
1/26/14 16:59,146287.94
1/26/14 17:59,153514.64
1/26/14 18:59,172717.13
1/26/14 19:59,172326.35
1/26/14 20:59,159255.44
1/26/14 21:59,150554.39
1/26/14 22:59,138699.73
1/26/14 23:59,127893.13
1/27/14 00:59,121459.31
1/27/14 01:59,117867.54
1/27/14 02:59,117594.25
1/27/14 03:59,118797.41
1/27/14 04:59,121600.24
1/27/14 05:59,127757.8
1/27/14 06:59,143612.09
1/27/14 07:59,149470.84
1/27/14 08:59,152569.34
1/27/14 09:59,150964.8
1/27/14 10:59,139514.5
1/27/14 11:59,148621.02
1/27/14 12:59,141847.91
1/27/14 13:59,137064.72
1/27/14 14:59,135369.92
1/27/14 15:59,137452.96
1/27/14 16:59,145385.34
1/27/14 17:59,157629.2
1/27/14 18:59,157504.03
1/27/14 19:59,167410.96
1/27/14 20:59,161629.29
1/27/14 21:59,149753.51
1/27/14 22:59,139037.27
1/27/14 23:59,127962.45
1/28/14 00:59,121002.82
1/28/14 01:59,116608.51
1/28/14 02:59,117624.74
1/28/14 03:59,119285.07
1/28/14 04:59,120931.44
1/28/14 05:59,127400.82
1/28/14 06:59,140539.24
1/28/14 07:59,149450.2
1/28/14 08:59,153082.97
1/28/14 09:59,152498.02
1/28/14 10:59,154145.24
1/28/14 11:59,152780.13
1/28/14 12:59,145417.4
1/28/14 13:59,141591.91
1/28/14 14:59,138775.06
1/28/14 15:59,139716.83
1/28/14 16:59,146928.56
1/28/14 17:59,159577.07
1/28/14 18:59,176230.87
1/28/14 19:59,176042.23
1/28/14 20:59,165542.17
1/28/14 21:59,156603.61
1/28/14 22:59,145263.92
1/28/14 23:59,138890.55
1/29/14 00:59,130887.8
1/29/14 01:59,127501.46
1/29/14 02:59,126843.75
1/29/14 03:59,128015.78
1/29/14 04:59,130753.21
1/29/14 05:59,138710.79
1/29/14 06:59,152093.6
1/29/14 07:59,161021.75
1/29/14 08:59,163307.53
1/29/14 09:59,164783.21
1/29/14 10:59,166333.8
1/29/14 11:59,165049.53
1/29/14 12:59,158761.57
1/29/14 13:59,152447.27
