X,Tmax,Tmin,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
2/22/14,17,8.142857143,9.728823321,9.399363504,9.111426533,8.855707714,8.625717173,8.41674778,8.225276618,9.142444484,10.9402839,12.61725061,14.10088537,15.3270825,16.24285982,16.80864795,17,15.47619048,13.95238095,12.42857143,11.47619048,10.52380952,9.571428571,9.007203788,8.442979004,7.87875422
2/23/14,18,4.571428571,7.314529436,6.743224058,6.244084689,5.80090743,5.402399201,5.040374174,4.708708995,6.132774357,8.850199315,11.3836124,13.62406222,15.47519648,16.8574057,17.71124691,18,16.80952381,15.61904762,14.42857143,13.47619048,12.52380952,11.57142857,10.93579726,10.30016595,9.664534642
2/24/14,17,7,9.028903332,8.605246199,8.235226235,7.90677557,7.611490335,7.343282775,7.097601306,8.196841114,10.21423488,12.09404837,13.75581914,15.1284177,16.15309214,16.78598287,17,15.85714286,14.71428571,13.57142857,12.71428571,11.85714286,11,10.44812355,9.896247099,9.344370649
2/25/14,16,6.714285714,8.792494199,8.357405968,7.977528365,7.640414194,7.337402363,7.062222752,6.810189839,7.857326507,9.724831142,11.46408194,13.00098418,14.27006345,15.21725506,15.8022072,16,14.9047619,13.80952381,12.71428571,11.95238095,11.19047619,10.42857143,9.912095812,9.395620196,8.87914458
2/26/14,17.42857143,6.428571429,8.362668964,7.956684076,7.602335608,7.287958287,7.005441653,6.748917961,6.514004644,7.820151341,10.02555383,12.07844379,13.8917784,15.38867205,16.50565624,17.1953707,17.42857143,16.42857143,15.42857143,14.42857143,13.33333333,12.23809524,11.14285714,10.61760391,10.09235068,9.567097455
2/27/14,15.71428571,7,9.041844226,8.612104602,8.237149673,7.904577384,7.605772035,7.334504362,7.086124211,8.132115644,9.873799017,11.4942101,12.92496868,14.10569776,14.9865714,15.53041736,15.71428571,14.52380952,13.33333333,12.14285714,11.33333333,10.52380952,9.714285714,9.210900878,8.707516041,8.204131204
2/28/14,17.14285714,5.571428571,7.700746367,7.251398787,6.859469514,6.511933298,6.199748939,5.916383772,5.656963719,7.114117345,9.41959212,11.56344764,13.45564399,15.0167107,16.18108443,16.89986258,17.14285714,16.33333333,15.52380952,14.71428571,14.23809524,13.76190476,13.28571429,12.34966006,11.41360583,10.4775516
3/1/14,16.71428571,7.857142857,9.541497368,9.185093666,8.8743389,8.598856042,8.351448065,8.126918202,7.92139115,9.068074321,10.8272009,12.46218061,13.90467216,15.09438017,15.98157547,16.52917376,16.71428571,15.80952381,14.9047619,14,13.71428571,13.42857143,13.14285714,12.78189433,12.42093152,12.05996871
3/2/14,18.42857143,10.71428571,11.6990059,11.49007831,11.30797394,11.14658246,11.00166955,10.87017976,10.7498358,11.79514963,13.32244686,14.74124308,15.99251555,17.02421061,17.79340915,18.26811206,18.42857143,17.47619048,16.52380952,15.57142857,15,14.42857143,13.85714286,13.53346709,13.20979133,12.88611557
3/3/14,19.28571429,11.14285714,12.56243981,12.26042712,11.99728072,11.76412814,11.55482616,11.36494481,11.19118413,12.31135552,13.91838454,15.41050004,16.72592483,17.81019715,18.61842552,19.11714732,19.28571429,18.14285714,17,15.85714286,15,14.14285714,13.28571429,12.76636056,12.24700683,11.7276531
3/4/14,16.42857143,9,11.20829938,10.73720153,10.32687484,9.963416884,9.637209901,9.341323017,9.07059611,10.09111449,11.55250476,12.90871903,14.10387448,15.08872472,15.82268897,16.27552424,16.42857143,15.57142857,14.71428571,13.85714286,13.14285714,12.42857143,11.71428571,11.22378222,10.73327873,10.24277524
3/5/14,17.28571429,8,9.752271742,9.377428001,9.051055149,8.762040959,8.502704528,8.267514468,8.05235484,9.395218533,11.2161158,12.90512524,14.39298326,15.61867515,16.53193723,17.09531806,17.28571429,16.33333333,15.38095238,14.42857143,13.85714286,13.28571429,12.71428571,12.02316939,11.33205306,10.64093673
3/6/14,18,8.142857143,9.949820408,9.562205411,9.224834065,8.926162993,8.658220153,8.415268392,8.193040998,9.657108236,11.58386056,13.37017638,14.94315141,16.23858835,17.20361697,17.7988519,18,16.80952381,15.61904762,14.42857143,13.66666667,12.9047619,12.14285714,11.42533285,10.70780855,9.990284253
